"num","team","total_epa","auto_cycles","auto_points","teleop_cycles","teleop_points","total_cycles","total_points","links","cube_cycles","cube_points","cone_cycles","cone_points","bot_cycles","mid_cycles","top_cycles","fouls_committed","fouls_drawn","capped_fouls_committed","capped_fouls_drawn"
"1323","MadTown Robotics","86.7","2.7","14.1","9","31.3","11.7","65.6","4.1","6.6","19.7","5.1","21.4","4.3","3.6","3.8","2.3","0.7","1.7","0.8"
"254","The Cheesy Poofs","77.4","2.1","11.9","8.5","27","10.6","56.7","3.6","4.7","15","5.9","22.8","3.1","4","3.5","0.5","1.3","0.5","1.2"
"5940","BREAD","75.1","2.6","13.7","8.1","26.2","10.7","59","3.8","4.9","16.1","5.7","22.3","2.5","4.9","3.2","1.2","4.5","1.4","4.3"
"6036","Peninsula Robotics","70.1","2.2","11.8","8.5","28.6","10.7","58.9","3.7","5.1","16.8","5.6","22.3","3","3.8","3.9","1.8","2.1","2","1.2"
"1678","Citrus Circuits","68","2.4","11.7","7.5","25.5","9.9","53.2","3.2","5.1","15.2","4.9","20","3.3","3.4","3.2","0.4","2.5","0.4","2.9"
"4414","HighTide","66.6","1.6","7.3","8.2","29.1","9.8","53","3.3","4.3","12.1","5.5","20.8","3.4","3.7","2.7","0.9","1.6","1.4","1.6"
"3476","Code Orange","65.1","2.3","10.9","6.9","24.7","9.2","51.1","3.1","3.9","12.1","5.3","21.4","3.2","2.7","3.4","1.4","4.4","1.7","2.9"
"1538","The Holy Cows","65.1","2.2","9.9","7.3","24.9","9.6","50.6","3.2","2.2","9","7.4","25.5","2.6","3.9","3.1","1.5","0","2","0"
"4255","Robodores","64.5","1.9","11.2","6.7","25","8.6","49.1","2.6","3.6","13.7","5","22.5","1.8","1.6","5.1","4.5","3.8","2.7","2.8"
"581","Blazing Bulldogs","64.5","1","5.5","7.6","27.8","8.5","48","2.9","4","12.6","4.5","20.9","1.8","2.4","4.4","2.8","0.8","3.1","0.9"
"7157","μBotics","62.2","1.6","8.4","8.3","27.8","9.9","52.2","3.2","5.4","15.9","4.5","20.2","3","2.9","3.9","0.1","1.8","0.2","2"
"604","Quixilver","61.9","1.4","8.2","7.5","24.2","9","47.8","3.1","2.3","8.8","6.6","23","3","2.7","3.3","1.8","0.9","1.9","1"
"973","Greybots","60","1.8","8","7.6","28.5","9.4","52.7","3.2","4.8","14.2","4.6","19.3","3","3","3.3","3.1","0.9","3","1"
"4738","Patribots","58.8","1.8","8.5","7.3","27","9.2","50","2.9","2.8","11.1","6.4","24.2","1.9","3.4","3.9","2","1.6","1.9","1.8"
"2659","RoboWarriors","58.6","1.6","9","7.1","24.2","8.7","47.4","2.8","3.7","12.7","5","20.3","2.3","2.5","3.9","0","0.2","0","0.2"
"971","Spartan Robotics","58","2.6","12.2","5.4","19.3","8.1","43.1","2.3","3","11.7","5","19.8","0.7","4.7","2.7","0.8","0","0.9","0"
"972","Iron Claw","57.7","1.7","9.8","7.4","23.7","9.1","48.9","3.1","4.3","13.4","4.8","18.9","3.4","2.4","3.3","0.4","0.3","0.3","0.4"
"114","Eaglestrike","57.2","1.8","9.3","5.8","24.3","7.7","44.9","2.3","2.5","11.4","5.1","22.1","1.1","1.6","4.9","2.1","1.8","2","1.7"
"8033","Highlander Robotics","56.2","1.3","5.9","7.4","26.2","8.7","46.1","2.8","4","13","4.7","18.6","2.8","2.4","3.5","3.1","0.3","3.7","1.5"
"4201","The Vitruvian Bots","55.9","1.1","7.1","7.4","25.3","8.5","45.2","2.6","3.4","11.7","5.1","20.3","1.5","3.6","3.4","1.4","0.3","1.3","0.3"
"1868","Space Cookies","55.3","2.1","11.7","6","20.9","8.1","44.6","2.4","3.4","12.4","4.7","19.9","2.6","1.3","4.2","0.7","1.3","0.6","1.3"
"1351","TKO","54.3","1.2","7.3","5.6","22.2","6.8","40","2.1","1.7","7.6","5.1","21.9","0.5","2","4.2","0.8","0.5","0.9","0.6"
"5199","Robot Dolphins From Outer S...","54.1","1.3","7.4","6.5","23.5","7.8","42.2","2.3","3.3","11.2","4.4","19.8","2.2","1.3","4.3","0.4","1.6","1","1.6"
"696","Circuit Breakers","53.9","1.6","5.8","7.1","23.5","8.6","41.7","2.5","3.7","11.8","4.9","17.5","3.3","2.7","2.6","1.2","0.9","1.5","1"
"3255","SuperNURDs","53.1","1.3","6.7","6.2","22.4","7.5","41.6","2.5","3","11.4","4.5","17.7","1.9","2.1","3.5","1.7","1.9","1.5","1.2"
"4415","EPIC Robotz","53","1.6","9.4","5.9","19.9","7.5","40.4","2.2","3.7","11.6","3.8","17.2","2.2","1.9","3.4","3","0.1","3.1","0"
"3647","Millennium Falcons","52.6","2.2","12.2","6.6","21.3","8.8","47.2","2.7","3.8","13.1","5","20.4","2.2","2.9","3.6","0.5","0","0.5","0"
"115","MVRT","52.4","0.8","4.6","6","22.3","6.8","37.7","2.2","1.8","7.6","4.9","19.4","1.4","1.7","3.6","0.2","1.1","0.1","1.1"
"3512","Spartatroniks","51.6","1.2","6.5","6.4","21.8","7.7","40.1","2.4","4.4","13","3.2","15.2","3.1","1","3.6","2.2","0.5","2.4","0.4"
"687","The Nerd Herd","51.2","1.3","7.4","6.6","23.9","7.9","44.5","2.6","2.7","10.6","5.2","20.8","1.4","2.7","3.8","0","4.4","0","3.5"
"2073","EagleForce","50.5","1.1","6.2","6.6","19.7","7.7","37.3","2.3","5.1","15.4","2.6","10.5","4","0.9","2.8","0.8","2.5","1","2.2"
"1671","Buchanan Bird Brains","50.2","1","5.1","5.8","20.5","6.8","34.9","1.9","3.7","11","3.2","14.6","2.4","1.2","3.3","1.1","1.4","0.9","2.6"
"3970","Duncan Dynamics","50.1","0.9","5.6","6.9","22.2","7.9","39.5","2.4","4.4","12.5","3.5","15.3","3.7","0.6","3.5","0.5","1.5","0.6","2"
"846","The Funky Monkeys","49.2","1.2","6.7","5.9","22.7","7.1","38.7","1.9","3","10.5","4.1","18.9","1.4","1.6","4.1","1.4","1.4","1.3","1.7"
"3669","CarbonKnights","48","1.2","6.6","5.1","19.4","6.3","34","1.6","1.7","6.4","4.6","19.5","1.2","1.5","3.6","2.7","1.8","1.6","1.8"
"5419","Berkelium","47.8","1.7","7.1","5.9","17","7.6","34.3","2","4.1","11.7","3.6","12.5","3.1","3.2","1.3","0.9","3.8","1.1","3.1"
"2485","W.A.R. Lords","47.6","1.3","6.8","4.5","17.1","5.8","32.4","1.7","2.8","10","3","13.9","1.6","0.8","3.4","0","2.7","0","2.9"
"599","The Robodox","47.6","0.8","4.7","5.5","19.4","6.2","31.9","1.6","2.6","9.8","3.7","14.4","1.6","1.4","3.2","2","2","1.7","1.7"
"6560","Charging Champions","47.3","1.7","9.5","5.3","18.4","7","38.8","2.2","3.2","11.5","3.8","16.4","2.5","0.7","3.9","1.8","2","1.9","1.8"
"294","Beach Cities Robotics","46.9","1.2","7.3","5","21.5","6.3","37.8","1.8","2.3","9.5","4","19.3","1.2","0.2","4.9","3.2","3.2","2.7","3.5"
"9084","Octobots","46.8","0.7","4.3","6.3","19.8","7","34.3","2","3.9","11","3.1","13.1","3.4","0.8","2.9","1","1.1","1.1","1.1"
"5026","Iron Panthers","46.8","1.6","9.1","5.1","20.1","6.6","38.6","1.9","2","8.3","4.6","21","1.3","0.8","4.6","1.2","3.6","1","0.7"
"649","MSET Fish","46.8","1.7","8.5","5.1","18.8","6.7","37","1.9","2.9","9.6","3.8","16.6","1.8","1.9","3","0.1","0","0.1","0"
"6995","NOMAD","46","1.1","6.3","4.7","18.1","5.8","31.6","1.4","1.3","6.5","4.5","18","0.7","1.7","3.4","0.4","1.8","0.3","1.8"
"5507","Robotic Eagles","45.6","1.2","7","5","17.2","6.2","32.7","1.7","2.7","8.6","3.5","15.6","2.2","0.7","3.3","0.3","0","0.5","0"
"2584","Flame of The West","45.4","1.3","7.4","5","21","6.3","37.1","1.7","2","9.2","4.3","19.2","1","0.7","4.6","2.1","0.2","2.1","0.5"
"2551","Penguin Empire","44.4","1.1","5.6","5.8","19.5","6.9","33.6","1.7","2.8","9.6","4.1","15.5","2","2.1","2.7","3.7","0","2.5","0"
"4123","Tribe Robotics","44.3","1.4","8.2","3.5","14.3","4.9","28","1.1","2","9.7","3","12.8","0","1.9","3.1","2.3","1.6","2.3","1.6"
"4322","Clockwork Oranges","43.6","1.1","5.5","4.4","15.8","5.5","29","1.6","2.2","7.8","3.3","13.5","1.7","1","2.7","0","2.2","0.3","1.9"
"5171","Deus Ex Machina","43.6","1.6","6.4","4.2","11.9","5.8","25.9","1.5","3.8","11.1","2","7.2","2.1","3","0.7","1.3","1.8","0.7","2"
"597","The Wolverines","43.5","0.9","5.6","5.5","16.7","6.4","30.8","1.7","4.3","13.2","2.1","9.2","3.4","0.3","2.8","0","1.7","0","1.5"
"1388","Eagle Robotics","43.4","1","5.4","3.5","16","4.5","27.8","1.3","1.2","6.2","3.3","15.1","0.2","0.7","3.5","1.3","1","1.2","1"
"9125","Mechanical Magicians","42.9","1.4","6.8","3.6","14.9","5","28.4","1.3","2.3","9.4","2.7","12.3","0.3","1.7","2.9","2.9","0.3","2.8","0.3"
"8404","SKYWALKERS","42.8","1","6.1","6.1","18","7.1","33.5","1.9","4.8","14.5","2.3","9.6","3.2","1.6","2.4","3.5","0.4","3.3","0.7"
"3257","Vortechs","42.8","0.7","4.1","5.4","21.1","6.1","33.4","1.6","1.9","7.5","4.2","17.8","1.2","1.1","3.8","0","0","0","0"
"2839","Daedalus","42.7","0.3","1.1","4.7","16.8","5","23.8","1.2","1.7","6.4","3.2","11.6","1.7","1","2.3","0.9","2.8","0.8","2.1"
"8048","East Palo Alto Churrobots","42.6","1.1","4.2","4.5","11.5","5.6","24.2","1.7","4.6","10.9","1.1","4.8","3.9","1","0.8","1.1","4.7","1.3","3.6"
"4698","Raider Robotics","42","0.8","3.1","5.6","16.5","6.4","28","1.7","3.3","8.8","3.1","10.9","2.5","2.9","1.1","1.6","2","1.7","2.2"
"670","Homestead Robotics","42","1.1","4.7","5.5","20","6.6","34.3","1.9","1.9","7","4.6","17.6","1","3.2","2.4","0.7","0","0.9","0.3"
"5458","Digital Minds","41.5","1.1","3.7","4.7","14.9","5.8","27.7","1.8","3.7","9.9","2.1","8.7","3.2","1","1.6","0.2","2.1","0.2","1.7"
"8","Paly Robotics","41.3","1.1","5.7","4.2","16.3","5.3","28.2","1.3","1.8","8.5","3.5","13.5","1.3","1","3.1","0.3","2.6","0.7","2.2"
"1148","Harvard Westlake Robotics","41.3","1.1","5.6","4.2","14","5.3","25.1","1.1","2.6","9.7","2.7","9.9","1.7","1.3","2.2","1.2","5.3","1.4","4.7"
"5851","Striking Vikings","41.3","1.2","7.3","4.4","17.7","5.6","31.4","1.3","2","9","3.5","16","0.4","1.5","3.7","0.3","2.1","0.4","2.1"
"4419","Team Rewind","40.8","1.1","5","5.7","20.8","6.8","34.6","1.7","3.3","11","3.5","14.9","1.5","2.3","3","0.9","3.7","0.6","2.3"
"8793","Pumpkin Bots","40.3","1.1","3.6","5.1","14.5","6.2","25.4","1.5","4.7","12.3","1.5","5.7","4.2","0.7","1.3","3.1","0.3","3.1","0.3"
"1072","Harker Robotics","40.1","0.9","6.2","5.1","14.3","6","29.1","1.7","3.4","10.2","2.6","10.3","2.9","0.9","2.2","0.3","1.8","0.4","1.8"
"9038","SF UNITY","39.8","1.1","5.9","4.1","17.7","5.2","31.8","1.7","2","7.4","3.1","15.5","0.7","1","3.5","0.9","0.8","1","0.9"
"968","RAWC (Robotics Alliance Of ...","39","1.1","4.7","5.3","15.7","6.4","28.4","1.6","3.5","9.7","2.9","10.6","2.3","2.9","1.2","0.1","1.5","0.7","1.7"
"3749","Team Optix","38.7","0.9","5.5","4.8","16.1","5.7","29.4","1.5","2.4","8","3.4","13.7","2","1","2.8","1.1","2.1","1.1","2.1"
"2813","Gear Heads","37.5","1","5.7","4.5","11.6","5.5","24.4","1.4","4.5","12.9","1","4.5","3.2","0.7","1.6","0.6","2.9","0.7","2.5"
"2429","La Cañada Engineering Club","37.5","1.1","6.1","3.8","13.2","5","24.8","1.1","2.6","8.4","2.3","10.9","0.8","2.2","2","1.4","0.6","1.4","0.4"
"1836","The MilkenKnights","37.4","1.3","4.7","4.1","10.4","5.4","23.6","1.7","4.5","11.4","0.9","3.7","4.6","-0.3","1.1","5.8","0.3","4.4","0.3"
"1160","Titanium Robotics","37","1","4.5","3.7","14","4.7","23.6","1","2.2","8.4","2.5","10.1","1.7","0.4","2.5","4","1.8","3.2","1.8"
"8888","Flying Lions","37","0.9","5.2","3.1","11.6","4","22.1","1.1","2.5","8.1","1.5","8.7","1.6","-0.3","2.8","1.5","2.9","0.3","3.1"
"8840","Bay Robotics","36.9","1.2","6.4","4.3","12.8","5.5","24.9","1.1","2.5","8.4","3","10.7","1.9","1.9","1.7","1.2","0.4","1.4","0.4"
"5817","Uni-Rex","36.7","0.9","4.8","4.6","14","5.4","25.3","1.3","2.4","7.6","3","11.1","1.3","2.7","1.4","1.3","0","2.3","0.8"
"9143","Armor Robotics","36.7","1.1","5.4","4.3","9.6","5.4","21","1.2","5","13.2","0.4","1.8","3.5","1.3","0.6","1.5","3.6","1.1","2.8"
"1138","Eagle Engineering","36.6","1.1","5.4","5.3","17.7","6.4","32.4","1.9","3.3","10.2","3.1","12.9","2","2","2.4","1.3","3","1.5","2.7"
"100","The WildHats","36.4","1.3","7.7","4","12.5","5.3","25.9","1.1","1.9","8","3.4","12.2","2.1","0.6","2.6","4","0.3","3.6","0.3"
"766","M-A Bears","36.3","1.1","3.5","4.9","12.9","6","25.9","1.9","4.4","10.4","1.6","6.1","4.2","0.9","0.8","2.5","6.8","3","5.8"
"5274","Wolverines","36.2","0.8","2.8","4.6","15.1","5.4","24.2","1.3","3.1","10","2.3","8","1.4","2.8","1.2","0","0.9","0","1"
"1967","The Janksters","35.7","1","5.9","3.7","11.9","4.7","19.8","0.4","3.9","13.7","0.8","4","1.9","0.7","2.2","0.1","0.9","0","1.1"
"5104","BreakerBots","35.7","1.1","4.4","4.5","11.6","5.5","23.4","1.5","4.6","11.7","0.9","4.4","3.4","1.4","0.8","2.5","3.9","2.3","0.7"
"8852","Drew Robotics","35.5","1.1","6.1","3.1","11.4","4.2","23.1","1.1","2.4","9.1","1.7","8.4","1.5","-0.1","2.7","4.6","0.2","4.4","0.2"
"7447","Rōnin Robotics","35.5","0.8","2.7","4.4","11","5.3","22.1","1.7","4.3","10.2","0.9","3.5","3.9","0.9","0.5","3.4","0","2.8","0"
"3128","The Aluminum Narwhals","35.1","1.1","4.2","4.8","13.4","5.9","25.8","1.6","3.6","9.5","2.3","8.1","3.5","1.4","1.1","1.4","1.4","2.1","1.5"
"1622","Team Spyder","34.6","1.1","5.6","4.9","15.8","6","30.5","1.8","2.2","7.1","3.8","14.2","2.7","0.8","2.5","0","1.7","0","1.9"
"4160","The RoBucs","34.5","0.9","4.5","4.2","12.4","5.2","23.9","1.4","3.8","11.3","1.4","5.6","2.9","0.5","1.7","1.8","0","1.7","0"
"6000","Firehawk Robotics","34.5","1","4.4","3.7","9","4.7","18.9","1.1","2.7","6.3","2","7.1","2.3","2.2","0.3","3.5","0.4","3.7","0.8"
"3859","Wolfpack Robotics","34.1","1","5.3","3.2","9","4.2","18.3","0.8","3.6","11.3","0.6","3.1","2.3","0.3","1.5","0.7","1.2","0.8","1.6"
